CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
5445,12249.345454545455,1643.3,596.209090909091,240.03181818181818,7645.563636363637,756.4227272727272,386.85,364.2,9011.081818181818,1617.590909090909,300.2181818181818,900.5863636363637,2439.5454545454545,1885.5454545454545,220,18.74597610678135,15.100105072230871,0.5925797246932256,0.9401709401709402,0.7719298245614035,0.13638258808058065
5446,13904.458823529412,1464.2,187.68235294117648,559.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.117647058823529,1882.0823529411764,85,11.025184053740288,9.926675203460208,0.43513820497718514,0.9239130434782609,0.7083333333333334,-1.2970552822393073
5447,12051.448717948719,1754.5128205128206,303.78205128205127,317.5769230769231,7079.602564102564,883.7692307692307,396.2435897435897,364.64102564102564,8435.74358974359,2460.3846153846152,250.74358974358975,908.2948717948718,403.53846153846155,1884.551282051282,78,14.006485423626584,8.354872943942695,0.8026128432743393,0.7959183673469388,0.6,0.1462874849252373
5448,17069.51219512195,1675.5731707317073,547.560975609756,376.3414634146341,9203.121951219513,986.4268292682926,463.0609756097561,413.3658536585366,11933.939024390244,1725.8292682926829,335.780487804878,938.439024390244,918.0121951219512,1883.1341463414635,82,11.318613005551311,9.307152436896494,0.5690724850744991,0.9111111111111111,0.6833333333333333,0.0701455171072258
5449,12589.366666666667,1421.2,242.0,755.8,7145.233333333334,1871.2,542.1333333333333,1204.4,9177.866666666667,1169.7333333333333,348.4,954.4666666666667,1043.9666666666667,1880.6,30,6.670120055603534,5.784898789036078,0.4978109704162872,0.9375,0.8333333333333334,-0.3338449692260602
5450,10334.261780104713,1784.4921465968587,2353.005235602094,299.869109947644,6004.7696335078535,1102.9057591623036,431.36649214659684,395.4083769633508,7532.434554973822,2223.020942408377,294.5916230366492,897.1884816753927,1756.9267015706807,1885.9424083769634,191,16.07497728983968,15.190605754016369,0.32711486183248994,0.9271844660194175,0.7490196078431373,-0.15965138766620315
5451,13677.710144927536,1751.9565217391305,691.6666666666666,288.2536231884058,7551.45652173913,1128.3623188405797,412.7028985507246,411.04347826086956,9808.876811594202,3153.927536231884,302.2608695652174,916.8405797101449,1950.3115942028985,1885.123188405797,138,16.492291968387462,12.788329745246278,0.6314550002141042,0.8313253012048193,0.5411764705882353,0.6987446165859799
5452,10891.661016949152,1845.7627118644068,193.64406779661016,301.3898305084746,6494.282485875706,841.4180790960452,342.0508474576271,350.02259887005647,7591.672316384181,1393.4180790960452,226.00564971751413,869.4915254237288,183.14124293785312,1885.949152542373,177,17.443914324941794,12.938102266605998,0.6707348774764461,0.9414893617021277,0.7375,-0.833320738402155
5453,33429.34210526316,1633.5,384.8157894736842,1181.7368421052631,18918.13157894737,928.5526315789474,976.5,498.8421052631579,25328.105263157893,1546.7631578947369,490.8421052631579,927.1315789473684,906.8947368421053,1882.4473684210527,38,8.531344303016946,5.734918881491361,0.7403537274563419,0.8636363636363636,0.6785714285714286,0.19247092634635238
5454,14272.476014760148,1796.3173431734317,920.6789667896679,247.90774907749076,8821.601476014761,994.0221402214022,410.6752767527675,375.2472324723247,10840.929889298894,2106.132841328413,312.3690036900369,911.5018450184502,2331.332103321033,1886.3468634686346,271,21.700570748875787,16.46445188556764,0.6514278986168315,0.9155405405405406,0.7245989304812834,1.4418025296315362
